customer_id,industry,company_size,total_spend,gift_frequency,average_gift_value,customer_satisfaction,preferred_gift_type
1,Insurance,Enterprise,5033.54,38,52.08,4.57,"Physical Gifts, Gift Cards, Custom Gifts"
2,Finance,Small,10262.89,10,37.04,4.08,"Gift Cards, Physical Gifts, Custom Gifts"
3,Tech,Medium,12519.32,32,47.34,4.08,"Custom Gifts, Physical Gifts, Experiences"
4,Finance,Small,366330.57,10,109.9,4.42,"Custom Gifts, Physical Gifts"
5,Healthcare,Small,48473.67,35,54.32,5.0,"Physical Gifts, Experiences, Custom Gifts"
6,Insurance,Medium,49483.45,51,55.13,4.55,"Gift Cards, Experiences"
7,Tech,Medium,23181.73,1,73.25,4.78,"Experiences, Physical Gifts"
8,Manufacturing,Medium,65933.99,40,32.23,4.04,"Custom Gifts, Experiences, Gift Cards"
9,Retail,Enterprise,25024.61,35,86.35,5.0,"Physical Gifts, Gift Cards, Experiences"
10,Energy,Enterprise,226238.16,3,195.52,4.46,"Physical Gifts, Gift Cards, Experiences"
11,Finance,Medium,13328.83,48,99.09,5.0,"Custom Gifts, Experiences"
12,Finance,Large,28760.19,10,33.21,5.0,"Custom Gifts, Experiences, Physical Gifts"
13,Real Estate,Enterprise,14550.88,39,48.92,3.89,"Custom Gifts, Gift Cards"
14,Retail,Large,40986.17,19,56.32,4.57,Physical Gifts
15,Manufacturing,Medium,4615.51,15,117.08,4.58,Custom Gifts
16,Healthcare,Enterprise,18514.81,29,74.37,4.03,Experiences
17,Education,Enterprise,2719.1,10,52.28,3.62,Custom Gifts
18,Hospitality,Enterprise,109793.15,12,67.27,3.44,Gift Cards
19,Real Estate,Large,20340.49,51,115.29,3.74,Custom Gifts
20,Energy,Medium,11049.63,1,54.63,3.6,"Physical Gifts, Custom Gifts"
21,Education,Enterprise,24352.28,9,72.19,4.13,"Physical Gifts, Experiences, Custom Gifts"
22,Hospitality,Enterprise,104527.57,50,109.3,4.77,Custom Gifts
23,Education,Large,5521.86,36,39.05,5.0,"Experiences, Physical Gifts, Gift Cards"
24,Insurance,Large,15434.29,26,28.0,3.67,Gift Cards
25,Retail,Large,17330.24,25,20.65,4.45,Experiences
26,Finance,Large,6017.68,22,42.97,4.42,Physical Gifts
27,Manufacturing,Enterprise,7135.52,45,34.72,3.93,"Experiences, Custom Gifts"
28,Education,Small,6780.15,7,32.43,3.65,"Physical Gifts, Gift Cards"
29,Insurance,Small,20817.3,13,50.27,3.96,"Gift Cards, Physical Gifts"
30,Healthcare,Small,27784.93,27,38.58,4.8,"Experiences, Physical Gifts"
31,Energy,Small,7642.32,19,108.0,4.32,"Gift Cards, Physical Gifts"
32,Hospitality,Enterprise,28995.31,42,64.3,4.03,"Gift Cards, Physical Gifts"
33,Tech,Small,23471.99,32,72.46,5.0,"Gift Cards, Physical Gifts, Experiences"
34,Energy,Large,27267.66,33,30.47,5.0,"Experiences, Physical Gifts, Gift Cards"
35,Energy,Small,31468.23,46,42.77,5.0,Custom Gifts
36,Finance,Large,23876.96,5,146.87,3.71,Custom Gifts
37,Hospitality,Small,1923.23,9,63.12,3.84,Custom Gifts
38,Tech,Large,27740.23,32,149.67,4.93,"Gift Cards, Experiences"
39,Education,Medium,22385.2,24,22.41,4.32,"Gift Cards, Physical Gifts, Custom Gifts"
40,Manufacturing,Small,132945.53,36,43.35,4.2,"Experiences, Gift Cards, Custom Gifts"
41,Hospitality,Medium,157329.55,34,24.05,5.0,"Custom Gifts, Gift Cards, Physical Gifts"
42,Hospitality,Enterprise,4914.25,22,30.56,4.02,"Custom Gifts, Physical Gifts"
43,Healthcare,Enterprise,24156.83,34,75.96,4.16,Gift Cards
44,Finance,Enterprise,67015.01,40,52.3,5.0,Custom Gifts
45,Finance,Small,55633.24,27,64.83,4.93,"Gift Cards, Experiences"
46,Finance,Enterprise,33796.15,28,54.1,4.72,"Custom Gifts, Experiences, Gift Cards"
47,Insurance,Small,11358.42,35,46.58,4.47,Experiences
48,Manufacturing,Small,86941.31,49,48.19,5.0,"Gift Cards, Physical Gifts"
49,Real Estate,Enterprise,15795.28,31,50.09,3.89,"Custom Gifts, Gift Cards"
50,Finance,Medium,56168.84,13,93.49,3.53,"Gift Cards, Experiences, Physical Gifts"
51,Tech,Medium,49563.56,24,137.57,3.43,"Gift Cards, Physical Gifts"
52,Finance,Enterprise,430196.9,41,56.62,3.95,Physical Gifts
53,Manufacturing,Medium,19337.45,33,109.14,3.88,"Physical Gifts, Custom Gifts"
54,Tech,Medium,13827.22,20,75.21,4.27,Gift Cards
55,Insurance,Medium,61067.9,10,81.56,4.1,Experiences
56,Hospitality,Small,28242.5,7,35.28,3.95,"Custom Gifts, Gift Cards, Experiences"
57,Retail,Medium,12601.77,1,33.59,4.47,"Custom Gifts, Physical Gifts, Gift Cards"
58,Tech,Small,56774.62,9,132.81,4.03,Physical Gifts
59,Hospitality,Small,28683.57,17,15.91,4.45,"Experiences, Gift Cards"
60,Manufacturing,Medium,53817.57,44,66.53,3.93,"Gift Cards, Custom Gifts"
61,Real Estate,Medium,10101.29,29,67.67,3.65,"Gift Cards, Experiences"
62,Retail,Small,15500.91,2,88.4,4.31,"Experiences, Physical Gifts, Gift Cards"
63,Finance,Large,70634.86,38,68.48,4.91,Gift Cards
64,Tech,Small,28695.97,10,122.68,4.4,"Custom Gifts, Experiences, Physical Gifts"
65,Healthcare,Enterprise,31569.31,22,37.09,4.09,"Physical Gifts, Experiences"
66,Hospitality,Enterprise,34865.25,51,75.54,3.91,"Gift Cards, Experiences"
67,Education,Enterprise,314452.83,8,39.9,5.0,"Physical Gifts, Custom Gifts"
68,Education,Large,26940.44,17,43.32,5.0,"Gift Cards, Physical Gifts, Experiences"
69,Manufacturing,Enterprise,11010.98,44,69.62,5.0,"Custom Gifts, Experiences, Gift Cards"
70,Healthcare,Enterprise,30400.78,49,97.55,4.38,"Gift Cards, Physical Gifts, Experiences"
71,Manufacturing,Enterprise,12553.59,35,41.43,4.73,"Custom Gifts, Physical Gifts, Gift Cards"
72,Tech,Enterprise,103368.8,27,50.79,4.2,"Custom Gifts, Gift Cards"
73,Healthcare,Enterprise,13134.33,42,23.91,4.22,Experiences
74,Real Estate,Large,22655.18,41,90.13,4.28,Experiences
75,Real Estate,Large,4493.85,3,34.7,4.58,"Physical Gifts, Gift Cards"
76,Manufacturing,Small,38666.39,20,50.56,3.18,Gift Cards
77,Tech,Small,52052.96,2,76.14,3.74,"Physical Gifts, Gift Cards, Custom Gifts"
78,Real Estate,Medium,65497.6,24,45.05,4.21,"Custom Gifts, Experiences, Gift Cards"
79,Hospitality,Enterprise,45150.28,27,54.98,4.09,"Experiences, Gift Cards"
80,Retail,Enterprise,4931.92,31,41.87,4.55,"Gift Cards, Experiences"
81,Tech,Enterprise,38791.07,17,70.52,3.77,"Gift Cards, Experiences, Physical Gifts"
82,Hospitality,Large,5054.22,33,15.31,4.98,"Experiences, Custom Gifts, Physical Gifts"
83,Real Estate,Medium,8048.79,46,63.04,5.0,"Experiences, Physical Gifts"
84,Insurance,Enterprise,173889.92,36,70.36,4.65,Physical Gifts
85,Finance,Small,12431.78,44,40.94,5.0,Gift Cards
86,Healthcare,Enterprise,24554.24,50,33.15,5.0,"Custom Gifts, Experiences, Gift Cards"
87,Hospitality,Enterprise,30603.43,49,37.21,4.12,"Custom Gifts, Gift Cards"
88,Energy,Medium,32380.6,47,42.73,5.0,"Custom Gifts, Experiences"
89,Real Estate,Enterprise,13994.93,10,84.04,3.5,"Physical Gifts, Gift Cards"
90,Healthcare,Small,41344.19,21,56.66,3.9,"Gift Cards, Experiences, Physical Gifts"
91,Energy,Large,25589.84,11,40.77,4.23,"Custom Gifts, Experiences"
92,Manufacturing,Medium,8367.03,24,54.8,4.3,Custom Gifts
93,Retail,Enterprise,20485.29,41,81.59,4.79,Experiences
94,Real Estate,Medium,17335.4,3,45.7,3.44,Physical Gifts
95,Healthcare,Large,369041.23,30,144.12,5.0,"Physical Gifts, Custom Gifts"
96,Manufacturing,Enterprise,37033.32,37,45.13,4.34,"Custom Gifts, Gift Cards, Experiences"
97,Healthcare,Large,17444.1,33,24.42,4.16,"Physical Gifts, Experiences"
98,Real Estate,Enterprise,30283.17,8,42.71,3.72,"Experiences, Custom Gifts"
99,Insurance,Large,58384.53,21,51.94,4.09,"Physical Gifts, Custom Gifts, Gift Cards"
100,Manufacturing,Small,84411.03,18,82.09,4.54,Experiences
101,Tech,Enterprise,21061.35,38,71.66,3.56,"Custom Gifts, Gift Cards, Physical Gifts"
102,Education,Medium,3771.52,19,80.81,4.69,"Custom Gifts, Gift Cards, Experiences"
103,Manufacturing,Small,42130.17,36,29.13,4.17,"Custom Gifts, Experiences, Physical Gifts"
104,Finance,Large,9346.74,6,11.43,3.73,"Custom Gifts, Experiences"
105,Education,Large,11026.25,8,50.17,3.72,"Gift Cards, Physical Gifts, Custom Gifts"
106,Retail,Medium,142700.91,46,38.62,4.7,Experiences
107,Hospitality,Small,32475.35,8,34.96,4.36,"Gift Cards, Experiences"
108,Education,Medium,41501.08,4,86.12,3.96,"Experiences, Gift Cards"
109,Real Estate,Enterprise,47914.54,15,42.02,3.59,"Custom Gifts, Experiences"
110,Healthcare,Small,34786.98,31,43.89,4.75,Custom Gifts
111,Tech,Medium,36350.61,12,51.97,2.64,"Experiences, Gift Cards, Custom Gifts"
112,Energy,Large,11220.24,43,28.54,4.4,"Physical Gifts, Experiences"
113,Energy,Small,3912.41,4,26.81,3.97,Custom Gifts
114,Retail,Large,42851.39,25,48.4,3.26,Custom Gifts
